hip,dist,x0,y0,z0,mag,absmag,vx,vy,vz,spect
202.0,440.8173,255.641,2.863,359.109,8.62,0.399,1.681611072187269e-05,6.147396554714877e-06,-1.2019689187749784e-05,F
203.0,487.9577,469.42,5.262,-133.117,9.18,0.738,3.4475941649641194e-05,4.947166210909624e-05,8.024034830858914e-06,K
204.0,403.8486,290.741,3.274,-280.273,8.53,0.499,-1.662486747520297e-05,8.19779005871552e-05,9.64397762617889e-07,K
205.0,121.7167,121.211,1.366,-11.003,8.54,3.113,1.3468842559573271e-06,-1.3730651496190642e-05,-1.3734742260825287e-06,F
206.0,95.4182,90.302,1.019,30.807,8.56,3.662,2.65899701252016e-07,-8.581401512329486e-06,9.546821966106036e-06,G
208.0,553.8014,210.717,2.391,-512.141,9.41,0.693,3.970087077924331e-06,6.098102840867388e-05,-2.3537237016596723e-05,G
207.0,246.1465,99.722,1.132,225.039,5.87,-1.086,-7.0760001267796095e-06,8.586514968122793e-06,-1.614829339526666e-05,G
209.0,246.1257,99.708,1.149,225.022,7.2,0.244,-1.1540047034337494e-05,9.71658869844386e-06,-2.665542235935594e-05,A
210.0,134.7709,133.286,1.54,-19.892,9.05,3.402,-4.29530286637872e-07,-1.7825506895471687e-06,-3.017961609210381e-06,F
211.0,246.7318,194.553,2.252,-151.726,9.52,2.559,-2.0481435834515863e-05,1.243899256280104e-05,-1.0323044555530188e-05,G
213.0,239.4127,149.118,1.736,187.295,7.7,0.804,3.037392741224952e-07,4.833749761414052e-05,-8.792075891013774e-06,G
214.0,265.252,232.999,2.721,126.739,8.17,1.052,3.68168817118176e-08,1.3294985062600798e-08,-6.74976164716656e-08,A
217.0,350.8772,42.921,0.505,348.242,7.29,-0.436,5.400832008891909e-06,-1.8479006545856448e-05,-6.391819741635e-07,A
215.0,694.8598,179.406,2.112,671.297,9.26,0.051,-3.059585139367909e-05,1.015736858782701e-05,-2.34206502245093e-05,M
216.0,258.3979,189.211,2.235,175.965,7.94,0.879,1.523093942594721e-05,-1.4615279348432923e-05,-1.619124642393045e-05,A
218.0,323.7917,173.323,2.056,-273.488,8.42,0.869,-1.975532511186613e-05,-4.2450887304884354e-05,-1.214548020026516e-05,G
